sample_id,observed_ts_utc,illuminance_value,interval_since_prev_s,notes
1,2026-02-17T14:47:07Z,438,,brightness_state=high;linkquality=149
2,2026-02-17T14:47:07Z,438,0,brightness_state=high;linkquality=153
3,2026-02-17T14:47:09Z,426,2,brightness_state=high;linkquality=156
4,2026-02-17T14:47:09Z,426,0,brightness_state=high;linkquality=156
5,2026-02-17T14:47:10Z,411,1,brightness_state=high;linkquality=153
6,2026-02-17T14:47:10Z,411,0,brightness_state=high;linkquality=145
7,2026-02-17T14:47:14Z,405,4,brightness_state=high;linkquality=153
8,2026-02-17T14:47:14Z,405,0,brightness_state=high;linkquality=153
9,2026-02-17T14:47:14Z,393,0,brightness_state=high;linkquality=149
10,2026-02-17T14:47:15Z,393,1,brightness_state=high;linkquality=105
11,2026-02-17T14:47:15Z,381,0,brightness_state=high;linkquality=145
12,2026-02-17T14:47:15Z,381,0,brightness_state=high;linkquality=153
13,2026-02-17T14:47:24Z,369,9,brightness_state=high;linkquality=153
14,2026-02-17T14:47:24Z,369,0,brightness_state=high;linkquality=134
15,2026-02-17T14:47:29Z,366,5,brightness_state=high;linkquality=105
16,2026-02-17T14:47:29Z,366,0,brightness_state=high;linkquality=149
17,2026-02-17T14:47:36Z,378,7,brightness_state=high;linkquality=112
18,2026-02-17T14:47:36Z,378,0,brightness_state=high;linkquality=120
19,2026-02-17T14:47:43Z,369,7,brightness_state=high;linkquality=112
20,2026-02-17T14:47:43Z,369,0,brightness_state=high;linkquality=145
21,2026-02-17T14:47:58Z,384,15,brightness_state=high;linkquality=87
22,2026-02-17T14:47:58Z,384,0,brightness_state=high;linkquality=127
23,2026-02-17T14:47:59Z,402,1,brightness_state=high;linkquality=120
24,2026-02-17T14:47:59Z,402,0,brightness_state=high;linkquality=123
25,2026-02-17T14:48:00Z,417,1,brightness_state=high;linkquality=127
26,2026-02-17T14:48:00Z,417,0,brightness_state=high;linkquality=131
27,2026-02-17T14:48:02Z,405,2,brightness_state=high;linkquality=127
28,2026-02-17T14:48:02Z,405,0,brightness_state=high;linkquality=131
29,2026-02-17T14:48:03Z,387,1,brightness_state=high;linkquality=127
30,2026-02-17T14:48:03Z,387,0,brightness_state=high;linkquality=127
31,2026-02-17T14:48:04Z,375,1,brightness_state=high;linkquality=134
32,2026-02-17T14:48:04Z,375,0,brightness_state=high;linkquality=87
33,2026-02-17T14:48:13Z,366,9,brightness_state=high;linkquality=127
34,2026-02-17T14:48:13Z,366,0,brightness_state=high;linkquality=83
35,2026-02-17T14:48:28Z,363,15,brightness_state=high;linkquality=145
36,2026-02-17T14:48:28Z,363,0,brightness_state=high;linkquality=94
37,2026-02-17T14:48:42Z,363,14,brightness_state=high;linkquality=120
38,2026-02-17T14:48:42Z,363,0,brightness_state=high;linkquality=131
39,2026-02-17T14:48:57Z,363,15,brightness_state=high;linkquality=145
40,2026-02-17T14:48:57Z,363,0,brightness_state=high;linkquality=145
41,2026-02-17T14:49:11Z,375,14,brightness_state=high;linkquality=123
42,2026-02-17T14:49:11Z,375,0,brightness_state=high;linkquality=69
43,2026-02-17T14:49:13Z,393,2,brightness_state=high;linkquality=127
44,2026-02-17T14:49:13Z,393,0,brightness_state=high;linkquality=76
45,2026-02-17T14:49:14Z,414,1,brightness_state=high;linkquality=127
46,2026-02-17T14:49:14Z,414,0,brightness_state=high;linkquality=98
47,2026-02-17T14:49:14Z,426,0,brightness_state=high;linkquality=109
48,2026-02-17T14:49:14Z,426,0,brightness_state=high;linkquality=116
49,2026-02-17T14:49:15Z,445,1,brightness_state=high;linkquality=102
50,2026-02-17T14:49:15Z,445,0,brightness_state=high;linkquality=123
51,2026-02-17T14:49:16Z,457,1,brightness_state=high;linkquality=120
52,2026-02-17T14:49:16Z,457,0,brightness_state=high;linkquality=123
53,2026-02-17T14:49:17Z,478,1,brightness_state=high;linkquality=153
54,2026-02-17T14:49:17Z,478,0,brightness_state=high;linkquality=153
55,2026-02-17T14:49:22Z,466,5,brightness_state=high;linkquality=138
56,2026-02-17T14:49:22Z,466,0,brightness_state=high;linkquality=138
57,2026-02-17T14:49:24Z,448,2,brightness_state=high;linkquality=134
58,2026-02-17T14:49:24Z,448,0,brightness_state=high;linkquality=134
59,2026-02-17T14:49:25Z,435,1,brightness_state=high;linkquality=134
60,2026-02-17T14:49:25Z,435,0,brightness_state=high;linkquality=142
61,2026-02-17T14:49:25Z,417,0,brightness_state=high;linkquality=142
62,2026-02-17T14:49:25Z,417,0,brightness_state=high;linkquality=91
63,2026-02-17T14:49:26Z,405,1,brightness_state=high;linkquality=131
64,2026-02-17T14:49:26Z,405,0,brightness_state=high;linkquality=112
65,2026-02-17T14:49:26Z,393,0,brightness_state=high;linkquality=91
66,2026-02-17T14:49:27Z,393,1,brightness_state=high;linkquality=127
67,2026-02-17T14:49:27Z,381,0,brightness_state=high;linkquality=131
68,2026-02-17T14:49:27Z,381,0,brightness_state=high;linkquality=138
69,2026-02-17T14:49:29Z,393,2,brightness_state=high;linkquality=138
70,2026-02-17T14:49:29Z,393,0,brightness_state=high;linkquality=138
71,2026-02-17T14:49:31Z,381,2,brightness_state=high;linkquality=123
72,2026-02-17T14:49:31Z,381,0,brightness_state=high;linkquality=123
73,2026-02-17T14:49:32Z,369,1,brightness_state=high;linkquality=138
74,2026-02-17T14:49:32Z,369,0,brightness_state=high;linkquality=138
75,2026-02-17T14:49:42Z,369,10,brightness_state=high;linkquality=123
76,2026-02-17T14:49:42Z,369,0,brightness_state=high;linkquality=123
77,2026-02-17T14:49:48Z,381,6,brightness_state=high;linkquality=80
78,2026-02-17T14:49:48Z,381,0,brightness_state=high;linkquality=123
